state,pollster,office_type,start_date,end_date,answer,candidate_id,candidate_name,candidate_party,pct
,Harris Insights & Analytics,U.S. President,10/27/20,10/28/20,Trump,13254,Donald Trump,REP,46
North Carolina,Cardinal Point Analytics (CardinalGPS),U.S. President,10/27/20,10/28/20,Biden,13256,Joseph R. Biden Jr.,DEM,45.9
North Carolina,Cardinal Point Analytics (CardinalGPS),U.S. President,10/27/20,10/28/20,Trump,13254,Donald Trump,REP,48.05
North Carolina,Cardinal Point Analytics (CardinalGPS),U.S. President,10/27/20,10/28/20,Blankenship,15856,Don Blankenship,CON,2.02
North Carolina,Cardinal Point Analytics (CardinalGPS),U.S. President,10/27/20,10/28/20,Jorgensen,14611,Jo Jorgensen,LIB,1.21
North Carolina,Cardinal Point Analytics (CardinalGPS),U.S. President,10/27/20,10/28/20,Hawkins,14612,Howie Hawkins,GRE,0.94
North Carolina,East Carolina University,U.S. President,10/27/20,10/28/20,Biden,13256,Joseph R. Biden Jr.,DEM,50.32
North Carolina,East Carolina University,U.S. President,10/27/20,10/28/20,Trump,13254,Donald Trump,REP,47.6
Arizona,Gravis Marketing,U.S. President,10/26/20,10/28/20,Biden,13256,Joseph R. Biden Jr.,DEM,48
Arizona,Gravis Marketing,U.S. President,10/26/20,10/28/20,Trump,13254,Donald Trump,REP,44
,J.L. Partners,U.S. President,10/26/20,10/28/20,Biden,13256,Joseph R. Biden Jr.,DEM,55
,J.L. Partners,U.S. President,10/26/20,10/28/20,Trump,13254,Donald Trump,REP,41
Alaska,Gravis Marketing,U.S. President,10/26/20,10/28/20,Biden,13256,Joseph R. Biden Jr.,DEM,43
Alaska,Gravis Marketing,U.S. President,10/26/20,10/28/20,Trump,13254,Donald Trump,REP,52
,Rasmussen Reports/Pulse Opinion Research,U.S. President,10/26/20,10/28/20,Biden,13256,Joseph R. Biden Jr.,DEM,48
,Rasmussen Reports/Pulse Opinion Research,U.S. President,10/26/20,10/28/20,Trump,13254,Donald Trump,REP,47
,Morning Consult,U.S. President,10/26/20,10/28/20,Biden,13256,Joseph R. Biden Jr.,DEM,52
,Morning Consult,U.S. President,10/26/20,10/28/20,Trump,13254,Donald Trump,REP,43
,AtlasIntel,U.S. President,10/26/20,10/28/20,Biden,13256,Joseph R. Biden Jr.,DEM,50.9
,AtlasIntel,U.S. President,10/26/20,10/28/20,Trump,13254,Donald Trump,REP,46.2
New Hampshire,American Research Group,U.S. President,10/26/20,10/28/20,Biden,13256,Joseph R. Biden Jr.,DEM,58
New Hampshire,American Research Group,U.S. President,10/26/20,10/28/20,Trump,13254,Donald Trump,REP,39
New Hampshire,American Research Group,U.S. President,10/26/20,10/28/20,Jorgensen,14611,Jo Jorgensen,LIB,1
,SurveyMonkey,U.S. President,10/26/20,10/28/20,Biden,13256,Joseph R. Biden Jr.,DEM,52
,SurveyMonkey,U.S. President,10/26/20,10/28/20,Trump,13254,Donald Trump,REP,45
,SurveyMonkey,U.S. President,10/26/20,10/28/20,Biden,13256,Joseph R. Biden Jr.,DEM,51
,SurveyMonkey,U.S. President,10/26/20,10/28/20,Trump,13254,Donald Trump,REP,47
,Harris Insights & Analytics,U.S. President,10/25/20,10/28/20,Biden,13256,Joseph R. Biden Jr.,DEM,53
,Harris Insights & Analytics,U.S. President,10/25/20,10/28/20,Trump,13254,Donald Trump,REP,47
,Harris Insights & Analytics,U.S. President,10/25/20,10/28/20,Biden,13256,Joseph R. Biden Jr.,DEM,52
,Harris Insights & Analytics,U.S. President,10/25/20,10/28/20,Trump,13254,Donald Trump,REP,48
North Carolina,Marist College,U.S. President,10/25/20,10/28/20,Biden,13256,Joseph R. Biden Jr.,DEM,51
North Carolina,Marist College,U.S. President,10/25/20,10/28/20,Trump,13254,Donald Trump,REP,46
North Carolina,Marist College,U.S. President,10/25/20,10/28/20,Biden,13256,Joseph R. Biden Jr.,DEM,52
North Carolina,Marist College,U.S. President,10/25/20,10/28/20,Trump,13254,Donald Trump,REP,46
,IBD/TIPP,U.S. President,10/24/20,10/28/20,Biden,13256,Joseph R. Biden Jr.,DEM,50
,IBD/TIPP,U.S. President,10/24/20,10/28/20,Trump,13254,Donald Trump,REP,45.3
,IBD/TIPP,U.S. President,10/24/20,10/28/20,Jorgensen,14611,Jo Jorgensen,LIB,1.5
,IBD/TIPP,U.S. President,10/24/20,10/28/20,Hawkins,14612,Howie Hawkins,GRE,0.8
,IBD/TIPP,U.S. President,10/24/20,10/28/20,Biden,13256,Joseph R. Biden Jr.,DEM,50.3
,IBD/TIPP,U.S. President,10/24/20,10/28/20,Trump,13254,Donald Trump,REP,44.8
Florida,Monmouth University,U.S. President,10/24/20,10/28/20,Biden,13256,Joseph R. Biden Jr.,DEM,50
Florida,Monmouth University,U.S. President,10/24/20,10/28/20,Trump,13254,Donald Trump,REP,45
Florida,Monmouth University,U.S. President,10/24/20,10/28/20,Jorgensen,14611,Jo Jorgensen,LIB,1
Florida,Monmouth University,U.S. President,10/24/20,10/28/20,Hawkins,14612,Howie Hawkins,GRE,0
Florida,Monmouth University,U.S. President,10/24/20,10/28/20,Biden,13256,Joseph R. Biden Jr.,DEM,51
Florida,Monmouth University,U.S. President,10/24/20,10/28/20,Trump,13254,Donald Trump,REP,45
Florida,Monmouth University,U.S. President,10/24/20,10/28/20,Jorgensen,14611,Jo Jorgensen,LIB,2
Florida,Monmouth University,U.S. President,10/24/20,10/28/20,Biden,13256,Joseph R. Biden Jr.,DEM,50
Florida,Monmouth University,U.S. President,10/24/20,10/28/20,Trump,13254,Donald Trump,REP,46
Florida,Monmouth University,U.S. President,10/24/20,10/28/20,Jorgensen,14611,Jo Jorgensen,LIB,2
New Hampshire,University of New Hampshire,U.S. President,10/24/20,10/28/20,Biden,13256,Joseph R. Biden Jr.,DEM,53
New Hampshire,University of New Hampshire,U.S. President,10/24/20,10/28/20,Trump,13254,Donald Trump,REP,45
New Hampshire,University of New Hampshire,U.S. President,10/24/20,10/28/20,Jorgensen,14611,Jo Jorgensen,LIB,1
Alabama,Auburn University at Montgomery,U.S. President,10/23/20,10/28/20,Biden,13256,Joseph R. Biden Jr.,DEM,38.9
Alabama,Auburn University at Montgomery,U.S. President,10/23/20,10/28/20,Trump,13254,Donald Trump,REP,58.1
Michigan,Kiaer Research,U.S. President,10/21/20,10/28/20,Biden,13256,Joseph R. Biden Jr.,DEM,53.5
Michigan,Kiaer Research,U.S. President,10/21/20,10/28/20,Trump,13254,Donald Trump,REP,40.6
Kentucky,Bluegrass Community and Technical College,U.S. President,10/16/20,10/28/20,Biden,13256,Joseph R. Biden Jr.,DEM,38.8
Kentucky,Bluegrass Community and Technical College,U.S. President,10/16/20,10/28/20,Trump,13254,Donald Trump,REP,52
,USC Dornsife/Los Angeles Times,U.S. President,10/15/20,10/28/20,Biden,13256,Joseph R. Biden Jr.,DEM,52.39
,USC Dornsife/Los Angeles Times,U.S. President,10/15/20,10/28/20,Trump,13254,Donald Trump,REP,42.26
,USC Dornsife/Los Angeles Times,U.S. President,10/15/20,10/28/20,Biden,13256,Joseph R. Biden Jr.,DEM,54.19
,USC Dornsife/Los Angeles Times,U.S. President,10/15/20,10/28/20,Trump,13254,Donald Trump,REP,42
,USC Dornsife/Los Angeles Times,U.S. President,10/15/20,10/28/20,Biden,13256,Joseph R. Biden Jr.,DEM,53.51
,USC Dornsife/Los Angeles Times,U.S. President,10/15/20,10/28/20,Trump,13254,Donald Trump,REP,42.36
Wyoming,University of Wyoming,U.S. President,10/8/20,10/28/20,Biden,13256,Joseph R. Biden Jr.,DEM,31
Wyoming,University of Wyoming,U.S. President,10/8/20,10/28/20,Trump,13254,Donald Trump,REP,59
Wyoming,University of Wyoming,U.S. President,10/8/20,10/28/20,Jorgensen,14611,Jo Jorgensen,LIB,5
Wyoming,SurveyMonkey,U.S. President,10/1/20,10/28/20,Biden,13256,Joseph R. Biden Jr.,DEM,30
Wyoming,SurveyMonkey,U.S. President,10/1/20,10/28/20,Trump,13254,Donald Trump,REP,68
Wyoming,SurveyMonkey,U.S. President,10/1/20,10/28/20,Biden,13256,Joseph R. Biden Jr.,DEM,31
Wyoming,SurveyMonkey,U.S. President,10/1/20,10/28/20,Trump,13254,Donald Trump,REP,68
West Virginia,SurveyMonkey,U.S. President,10/1/20,10/28/20,Biden,13256,Joseph R. Biden Jr.,DEM,32
West Virginia,SurveyMonkey,U.S. President,10/1/20,10/28/20,Trump,13254,Donald Trump,REP,66
West Virginia,SurveyMonkey,U.S. President,10/1/20,10/28/20,Biden,13256,Joseph R. Biden Jr.,DEM,32
West Virginia,SurveyMonkey,U.S. President,10/1/20,10/28/20,Trump,13254,Donald Trump,REP,66
Wisconsin,SurveyMonkey,U.S. President,10/1/20,10/28/20,Biden,13256,Joseph R. Biden Jr.,DEM,55
Wisconsin,SurveyMonkey,U.S. President,10/1/20,10/28/20,Trump,13254,Donald Trump,REP,42
Wisconsin,SurveyMonkey,U.S. President,10/1/20,10/28/20,Biden,13256,Joseph R. Biden Jr.,DEM,55
Wisconsin,SurveyMonkey,U.S. President,10/1/20,10/28/20,Trump,13254,Donald Trump,REP,43
Washington,SurveyMonkey,U.S. President,10/1/20,10/28/20,Biden,13256,Joseph R. Biden Jr.,DEM,61
Washington,SurveyMonkey,U.S. President,10/1/20,10/28/20,Trump,13254,Donald Trump,REP,36
Washington,SurveyMonkey,U.S. President,10/1/20,10/28/20,Biden,13256,Joseph R. Biden Jr.,DEM,62
Washington,SurveyMonkey,U.S. President,10/1/20,10/28/20,Trump,13254,Donald Trump,REP,36
Vermont,SurveyMonkey,U.S. President,10/1/20,10/28/20,Biden,13256,Joseph R. Biden Jr.,DEM,68
Vermont,SurveyMonkey,U.S. President,10/1/20,10/28/20,Trump,13254,Donald Trump,REP,29
Vermont,SurveyMonkey,U.S. President,10/1/20,10/28/20,Biden,13256,Joseph R. Biden Jr.,DEM,69
Vermont,SurveyMonkey,U.S. President,10/1/20,10/28/20,Trump,13254,Donald Trump,REP,29
Virginia,SurveyMonkey,U.S. President,10/1/20,10/28/20,Biden,13256,Joseph R. Biden Jr.,DEM,56
Virginia,SurveyMonkey,U.S. President,10/1/20,10/28/20,Trump,13254,Donald Trump,REP,41
Virginia,SurveyMonkey,U.S. President,10/1/20,10/28/20,Biden,13256,Joseph R. Biden Jr.,DEM,55
Virginia,SurveyMonkey,U.S. President,10/1/20,10/28/20,Trump,13254,Donald Trump,REP,43
Utah,SurveyMonkey,U.S. President,10/1/20,10/28/20,Biden,13256,Joseph R. Biden Jr.,DEM,43
Utah,SurveyMonkey,U.S. President,10/1/20,10/28/20,Trump,13254,Donald Trump,REP,55
Utah,SurveyMonkey,U.S. President,10/1/20,10/28/20,Biden,13256,Joseph R. Biden Jr.,DEM,43
Utah,SurveyMonkey,U.S. President,10/1/20,10/28/20,Trump,13254,Donald Trump,REP,55
Texas,SurveyMonkey,U.S. President,10/1/20,10/28/20,Biden,13256,Joseph R. Biden Jr.,DEM,49
Texas,SurveyMonkey,U.S. President,10/1/20,10/28/20,Trump,13254,Donald Trump,REP,48
Texas,SurveyMonkey,U.S. President,10/1/20,10/28/20,Biden,13256,Joseph R. Biden Jr.,DEM,47
Texas,SurveyMonkey,U.S. President,10/1/20,10/28/20,Trump,13254,Donald Trump,REP,51
Tennessee,SurveyMonkey,U.S. President,10/1/20,10/28/20,Biden,13256,Joseph R. Biden Jr.,DEM,44
Tennessee,SurveyMonkey,U.S. President,10/1/20,10/28/20,Trump,13254,Donald Trump,REP,54
Tennessee,SurveyMonkey,U.S. President,10/1/20,10/28/20,Biden,13256,Joseph R. Biden Jr.,DEM,42
Tennessee,SurveyMonkey,U.S. President,10/1/20,10/28/20,Trump,13254,Donald Trump,REP,56
South Dakota,SurveyMonkey,U.S. President,10/1/20,10/28/20,Biden,13256,Joseph R. Biden Jr.,DEM,41
South Dakota,SurveyMonkey,U.S. President,10/1/20,10/28/20,Trump,13254,Donald Trump,REP,56
South Dakota,SurveyMonkey,U.S. President,10/1/20,10/28/20,Biden,13256,Joseph R. Biden Jr.,DEM,41
South Dakota,SurveyMonkey,U.S. President,10/1/20,10/28/20,Trump,13254,Donald Trump,REP,57
South Carolina,SurveyMonkey,U.S. President,10/1/20,10/28/20,Biden,13256,Joseph R. Biden Jr.,DEM,45
South Carolina,SurveyMonkey,U.S. President,10/1/20,10/28/20,Trump,13254,Donald Trump,REP,51
South Carolina,SurveyMonkey,U.S. President,10/1/20,10/28/20,Biden,13256,Joseph R. Biden Jr.,DEM,44
South Carolina,SurveyMonkey,U.S. President,10/1/20,10/28/20,Trump,13254,Donald Trump,REP,54
Rhode Island,SurveyMonkey,U.S. President,10/1/20,10/28/20,Biden,13256,Joseph R. Biden Jr.,DEM,67
Rhode Island,SurveyMonkey,U.S. President,10/1/20,10/28/20,Trump,13254,Donald Trump,REP,31
Rhode Island,SurveyMonkey,U.S. President,10/1/20,10/28/20,Biden,13256,Joseph R. Biden Jr.,DEM,67
Rhode Island,SurveyMonkey,U.S. President,10/1/20,10/28/20,Trump,13254,Donald Trump,REP,32
Pennsylvania,SurveyMonkey,U.S. President,10/1/20,10/28/20,Biden,13256,Joseph R. Biden Jr.,DEM,53
Pennsylvania,SurveyMonkey,U.S. President,10/1/20,10/28/20,Trump,13254,Donald Trump,REP,45
Pennsylvania,SurveyMonkey,U.S. President,10/1/20,10/28/20,Biden,13256,Joseph R. Biden Jr.,DEM,52
Pennsylvania,SurveyMonkey,U.S. President,10/1/20,10/28/20,Trump,13254,Donald Trump,REP,46
Oregon,SurveyMonkey,U.S. President,10/1/20,10/28/20,Biden,13256,Joseph R. Biden Jr.,DEM,60
Oregon,SurveyMonkey,U.S. President,10/1/20,10/28/20,Trump,13254,Donald Trump,REP,38
Oregon,SurveyMonkey,U.S. President,10/1/20,10/28/20,Biden,13256,Joseph R. Biden Jr.,DEM,61
Oregon,SurveyMonkey,U.S. President,10/1/20,10/28/20,Trump,13254,Donald Trump,REP,38
Oklahoma,SurveyMonkey,U.S. President,10/1/20,10/28/20,Biden,13256,Joseph R. Biden Jr.,DEM,41
Oklahoma,SurveyMonkey,U.S. President,10/1/20,10/28/20,Trump,13254,Donald Trump,REP,57
Oklahoma,SurveyMonkey,U.S. President,10/1/20,10/28/20,Biden,13256,Joseph R. Biden Jr.,DEM,40
Oklahoma,SurveyMonkey,U.S. President,10/1/20,10/28/20,Trump,13254,Donald Trump,REP,59
Ohio,SurveyMonkey,U.S. President,10/1/20,10/28/20,Biden,13256,Joseph R. Biden Jr.,DEM,48
Ohio,SurveyMonkey,U.S. President,10/1/20,10/28/20,Trump,13254,Donald Trump,REP,50
Ohio,SurveyMonkey,U.S. President,10/1/20,10/28/20,Biden,13256,Joseph R. Biden Jr.,DEM,47
Ohio,SurveyMonkey,U.S. President,10/1/20,10/28/20,Trump,13254,Donald Trump,REP,51
New York,SurveyMonkey,U.S. President,10/1/20,10/28/20,Biden,13256,Joseph R. Biden Jr.,DEM,63
New York,SurveyMonkey,U.S. President,10/1/20,10/28/20,Trump,13254,Donald Trump,REP,34
New York,SurveyMonkey,U.S. President,10/1/20,10/28/20,Biden,13256,Joseph R. Biden Jr.,DEM,63
New York,SurveyMonkey,U.S. President,10/1/20,10/28/20,Trump,13254,Donald Trump,REP,34
Nevada,SurveyMonkey,U.S. President,10/1/20,10/28/20,Biden,13256,Joseph R. Biden Jr.,DEM,51
Nevada,SurveyMonkey,U.S. President,10/1/20,10/28/20,Trump,13254,Donald Trump,REP,47
Nevada,SurveyMonkey,U.S. President,10/1/20,10/28/20,Biden,13256,Joseph R. Biden Jr.,DEM,50
Nevada,SurveyMonkey,U.S. President,10/1/20,10/28/20,Trump,13254,Donald Trump,REP,49
New Mexico,SurveyMonkey,U.S. President,10/1/20,10/28/20,Biden,13256,Joseph R. Biden Jr.,DEM,52
New Mexico,SurveyMonkey,U.S. President,10/1/20,10/28/20,Trump,13254,Donald Trump,REP,46
New Mexico,SurveyMonkey,U.S. President,10/1/20,10/28/20,Biden,13256,Joseph R. Biden Jr.,DEM,52
New Mexico,SurveyMonkey,U.S. President,10/1/20,10/28/20,Trump,13254,Donald Trump,REP,46
New Jersey,SurveyMonkey,U.S. President,10/1/20,10/28/20,Biden,13256,Joseph R. Biden Jr.,DEM,60
New Jersey,SurveyMonkey,U.S. President,10/1/20,10/28/20,Trump,13254,Donald Trump,REP,36
New Jersey,SurveyMonkey,U.S. President,10/1/20,10/28/20,Biden,13256,Joseph R. Biden Jr.,DEM,60
New Jersey,SurveyMonkey,U.S. President,10/1/20,10/28/20,Trump,13254,Donald Trump,REP,37
New Hampshire,SurveyMonkey,U.S. President,10/1/20,10/28/20,Biden,13256,Joseph R. Biden Jr.,DEM,55
New Hampshire,SurveyMonkey,U.S. President,10/1/20,10/28/20,Trump,13254,Donald Trump,REP,43
New Hampshire,SurveyMonkey,U.S. President,10/1/20,10/28/20,Biden,13256,Joseph R. Biden Jr.,DEM,55
New Hampshire,SurveyMonkey,U.S. President,10/1/20,10/28/20,Trump,13254,Donald Trump,REP,44
Nebraska,SurveyMonkey,U.S. President,10/1/20,10/28/20,Biden,13256,Joseph R. Biden Jr.,DEM,46
Nebraska,SurveyMonkey,U.S. President,10/1/20,10/28/20,Trump,13254,Donald Trump,REP,51
Nebraska,SurveyMonkey,U.S. President,10/1/20,10/28/20,Biden,13256,Joseph R. Biden Jr.,DEM,46
Nebraska,SurveyMonkey,U.S. President,10/1/20,10/28/20,Trump,13254,Donald Trump,REP,53
North Dakota,SurveyMonkey,U.S. President,10/1/20,10/28/20,Biden,13256,Joseph R. Biden Jr.,DEM,42
North Dakota,SurveyMonkey,U.S. President,10/1/20,10/28/20,Trump,13254,Donald Trump,REP,56
North Dakota,SurveyMonkey,U.S. President,10/1/20,10/28/20,Biden,13256,Joseph R. Biden Jr.,DEM,42
North Dakota,SurveyMonkey,U.S. President,10/1/20,10/28/20,Trump,13254,Donald Trump,REP,57
North Carolina,SurveyMonkey,U.S. President,10/1/20,10/28/20,Biden,13256,Joseph R. Biden Jr.,DEM,53
North Carolina,SurveyMonkey,U.S. President,10/1/20,10/28/20,Trump,13254,Donald Trump,REP,45
North Carolina,SurveyMonkey,U.S. President,10/1/20,10/28/20,Biden,13256,Joseph R. Biden Jr.,DEM,52
North Carolina,SurveyMonkey,U.S. President,10/1/20,10/28/20,Trump,13254,Donald Trump,REP,47
Montana,SurveyMonkey,U.S. President,10/1/20,10/28/20,Biden,13256,Joseph R. Biden Jr.,DEM,48
Montana,SurveyMonkey,U.S. President,10/1/20,10/28/20,Trump,13254,Donald Trump,REP,49
Montana,SurveyMonkey,U.S. President,10/1/20,10/28/20,Biden,13256,Joseph R. Biden Jr.,DEM,48
Montana,SurveyMonkey,U.S. President,10/1/20,10/28/20,Trump,13254,Donald Trump,REP,50
Mississippi,SurveyMonkey,U.S. President,10/1/20,10/28/20,Biden,13256,Joseph R. Biden Jr.,DEM,43
Mississippi,SurveyMonkey,U.S. President,10/1/20,10/28/20,Trump,13254,Donald Trump,REP,56
Mississippi,SurveyMonkey,U.S. President,10/1/20,10/28/20,Biden,13256,Joseph R. Biden Jr.,DEM,37
Mississippi,SurveyMonkey,U.S. President,10/1/20,10/28/20,Trump,13254,Donald Trump,REP,62
Missouri,SurveyMonkey,U.S. President,10/1/20,10/28/20,Biden,13256,Joseph R. Biden Jr.,DEM,46
Missouri,SurveyMonkey,U.S. President,10/1/20,10/28/20,Trump,13254,Donald Trump,REP,52
Missouri,SurveyMonkey,U.S. President,10/1/20,10/28/20,Biden,13256,Joseph R. Biden Jr.,DEM,45
Missouri,SurveyMonkey,U.S. President,10/1/20,10/28/20,Trump,13254,Donald Trump,REP,53
Minnesota,SurveyMonkey,U.S. President,10/1/20,10/28/20,Biden,13256,Joseph R. Biden Jr.,DEM,54
Minnesota,SurveyMonkey,U.S. President,10/1/20,10/28/20,Trump,13254,Donald Trump,REP,43
Minnesota,SurveyMonkey,U.S. President,10/1/20,10/28/20,Biden,13256,Joseph R. Biden Jr.,DEM,55
Minnesota,SurveyMonkey,U.S. President,10/1/20,10/28/20,Trump,13254,Donald Trump,REP,42
Michigan,SurveyMonkey,U.S. President,10/1/20,10/28/20,Biden,13256,Joseph R. Biden Jr.,DEM,53
Michigan,SurveyMonkey,U.S. President,10/1/20,10/28/20,Trump,13254,Donald Trump,REP,44
Michigan,SurveyMonkey,U.S. President,10/1/20,10/28/20,Biden,13256,Joseph R. Biden Jr.,DEM,53
Michigan,SurveyMonkey,U.S. President,10/1/20,10/28/20,Trump,13254,Donald Trump,REP,45
Maine,SurveyMonkey,U.S. President,10/1/20,10/28/20,Biden,13256,Joseph R. Biden Jr.,DEM,56
Maine,SurveyMonkey,U.S. President,10/1/20,10/28/20,Trump,13254,Donald Trump,REP,42
Maine,SurveyMonkey,U.S. President,10/1/20,10/28/20,Biden,13256,Joseph R. Biden Jr.,DEM,56
Maine,SurveyMonkey,U.S. President,10/1/20,10/28/20,Trump,13254,Donald Trump,REP,43
Maryland,SurveyMonkey,U.S. President,10/1/20,10/28/20,Biden,13256,Joseph R. Biden Jr.,DEM,67
Maryland,SurveyMonkey,U.S. President,10/1/20,10/28/20,Trump,13254,Donald Trump,REP,30
Maryland,SurveyMonkey,U.S. President,10/1/20,10/28/20,Biden,13256,Joseph R. Biden Jr.,DEM,66
Maryland,SurveyMonkey,U.S. President,10/1/20,10/28/20,Trump,13254,Donald Trump,REP,32
Massachusetts,SurveyMonkey,U.S. President,10/1/20,10/28/20,Biden,13256,Joseph R. Biden Jr.,DEM,69
Massachusetts,SurveyMonkey,U.S. President,10/1/20,10/28/20,Trump,13254,Donald Trump,REP,28
Massachusetts,SurveyMonkey,U.S. President,10/1/20,10/28/20,Biden,13256,Joseph R. Biden Jr.,DEM,70
Massachusetts,SurveyMonkey,U.S. President,10/1/20,10/28/20,Trump,13254,Donald Trump,REP,28
Louisiana,SurveyMonkey,U.S. President,10/1/20,10/28/20,Biden,13256,Joseph R. Biden Jr.,DEM,41
Louisiana,SurveyMonkey,U.S. President,10/1/20,10/28/20,Trump,13254,Donald Trump,REP,55
Louisiana,SurveyMonkey,U.S. President,10/1/20,10/28/20,Biden,13256,Joseph R. Biden Jr.,DEM,38
Louisiana,SurveyMonkey,U.S. President,10/1/20,10/28/20,Trump,13254,Donald Trump,REP,60
